,US_County_FIPS,_class,n_species,n_red
673,02270,MAGNOLIOPSIDA,4,0
674,02270,MAMMALIA,37,5
675,02270,POLYPODIOPSIDA,1,0
676,02275,AMPHIBIA,6,0
677,02275,AVES,85,4
678,02275,INSECTA,1,0
679,02275,LILIOPSIDA,2,0
680,02275,MAGNOLIOPSIDA,9,0
681,02275,MAMMALIA,44,2
682,02275,POLYPODIOPSIDA,1,0
683,02275,REPTILIA,3,3
684,02282,AMPHIBIA,3,0
685,02282,AVES,91,6
686,02282,INSECTA,1,0
687,02282,LILIOPSIDA,1,0
688,02282,MAGNOLIOPSIDA,8,0
689,02282,MAMMALIA,47,3
690,02282,POLYPODIOPSIDA,1,0
691,02282,REPTILIA,3,3
692,02290,AMPHIBIA,1,0
693,02290,AVES,99,6
694,02290,INSECTA,1,0
695,02290,LILIOPSIDA,1,0
696,02290,MAGNOLIOPSIDA,5,0
697,02290,MAMMALIA,49,3
698,02290,POLYPODIOPSIDA,1,0
699,04001,AMPHIBIA,19,1
700,04001,AVES,93,0
701,04001,INSECTA,1,0
702,04001,LILIOPSIDA,8,0
703,04001,MAGNOLIOPSIDA,45,1
704,04001,MAMMALIA,103,1
705,04001,POLYPODIOPSIDA,1,0
706,04001,REPTILIA,40,0
707,04003,AMPHIBIA,21,1
708,04003,AVES,110,0
709,04003,INSECTA,3,0
710,04003,LILIOPSIDA,13,0
711,04003,MAGNOLIOPSIDA,65,2
712,04003,MAMMALIA,107,2
713,04003,REPTILIA,78,0
714,04005,AMPHIBIA,20,1
715,04005,AVES,94,0
716,04005,INSECTA,1,0
717,04005,LILIOPSIDA,15,3
718,04005,MAGNOLIOPSIDA,53,1
719,04005,MAMMALIA,106,1
720,04005,POLYPODIOPSIDA,1,0
721,04005,REPTILIA,54,0
722,04007,AMPHIBIA,19,1
723,04007,AVES,96,0
724,04007,INSECTA,1,0
725,04007,LILIOPSIDA,8,0
726,04007,MAGNOLIOPSIDA,50,1
727,04007,MAMMALIA,102,1
728,04007,POLYPODIOPSIDA,1,0
729,04007,REPTILIA,58,0
730,04009,AMPHIBIA,19,1
731,04009,AVES,101,0
732,04009,INSECTA,2,0
733,04009,LILIOPSIDA,11,0
734,04009,MAGNOLIOPSIDA,59,1
735,04009,MAMMALIA,112,1
736,04009,REPTILIA,61,0
737,04011,AMPHIBIA,18,1
738,04011,AVES,97,0
739,04011,INSECTA,2,0
740,04011,LILIOPSIDA,5,0
741,04011,MAGNOLIOPSIDA,49,1
742,04011,MAMMALIA,103,1
743,04011,REPTILIA,56,0
744,04012,AMPHIBIA,16,0
745,04012,AVES,110,1
746,04012,INSECTA,1,0
747,04012,LILIOPSIDA,8,0
748,04012,MAGNOLIOPSIDA,35,0
749,04012,MAMMALIA,76,0
750,04012,REPTILIA,49,1
751,04013,AMPHIBIA,22,1
752,04013,AVES,107,0
753,04013,INSECTA,1,0
754,04013,LILIOPSIDA,11,0
755,04013,MAGNOLIOPSIDA,48,1
756,04013,MAMMALIA,95,1
757,04013,POLYPODIOPSIDA,1,0
758,04013,REPTILIA,69,0
759,04015,AMPHIBIA,20,1
760,04015,AVES,107,1
761,04015,INSECTA,1,0
762,04015,LILIOPSIDA,13,2
763,04015,MAGNOLIOPSIDA,50,0
764,04015,MAMMALIA,97,0
765,04015,POLYPODIOPSIDA,1,0
766,04015,REPTILIA,59,1
767,04017,AMPHIBIA,19,1
768,04017,AVES,92,0
769,04017,INSECTA,1,0
770,04017,LILIOPSIDA,11,2
771,04017,MAGNOLIOPSIDA,46,1
772,04017,MAMMALIA,105,1
773,04017,POLYPODIOPSIDA,1,0
774,04017,REPTILIA,42,0
775,04019,AMPHIBIA,18,1
776,04019,AVES,114,0
777,04019,INSECTA,3,0
778,04019,LILIOPSIDA,16,0
779,04019,MAGNOLIOPSIDA,68,1
780,04019,MAMMALIA,99,1
781,04019,REPTILIA,79,0
782,04021,AMPHIBIA,19,1
783,04021,AVES,106,0
784,04021,INSECTA,1,0
785,04021,LILIOPSIDA,13,0
786,04021,MAGNOLIOPSIDA,53,1
787,04021,MAMMALIA,101,1
788,04021,REPTILIA,63,0
789,04023,AMPHIBIA,18,2
790,04023,AVES,103,0
