,US_County_FIPS,_class,n_species,n_red
1516,12045,MAMMALIA,28,5
1517,12045,REPTILIA,7,6
1518,12047,ACTINOPTERYGII,12,2
1519,12047,AVES,64,2
1520,12047,GASTROPODA,3,0
1521,12047,MAMMALIA,1,0
1522,12049,ACTINOPTERYGII,27,2
1523,12049,AVES,70,2
1524,12049,CHONDRICHTHYES,1,0
1525,12049,GASTROPODA,5,0
1526,12049,MAMMALIA,1,0
1527,12049,REPTILIA,1,1
1528,12051,ACTINOPTERYGII,30,2
1529,12051,AVES,72,1
1530,12051,CHONDRICHTHYES,1,0
1531,12051,GASTROPODA,5,0
1532,12051,MAMMALIA,2,1
1533,12051,REPTILIA,1,1
1534,12053,ACTINOPTERYGII,177,11
1535,12053,ANTHOZOA,22,9
1536,12053,AVES,82,2
1537,12053,CHONDRICHTHYES,62,38
1538,12053,GASTROPODA,18,2
1539,12053,LILIOPSIDA,5,0
1540,12053,MAGNOLIOPSIDA,4,0
1541,12053,MALACOSTRACA,13,0
1542,12053,MAMMALIA,29,5
1543,12053,POLYPODIOPSIDA,1,0
1544,12053,REPTILIA,7,6
1545,12055,ACTINOPTERYGII,7,2
1546,12055,AVES,67,1
1547,12055,GASTROPODA,3,0
1548,12055,MAMMALIA,1,0
1549,12055,REPTILIA,1,1
1550,12057,ACTINOPTERYGII,181,11
1551,12057,ANTHOZOA,25,10
1552,12057,AVES,82,2
1553,12057,CHONDRICHTHYES,61,37
1554,12057,GASTROPODA,18,2
1555,12057,LILIOPSIDA,5,0
1556,12057,MAGNOLIOPSIDA,4,0
1557,12057,MALACOSTRACA,13,0
1558,12057,MAMMALIA,29,5
1559,12057,POLYPODIOPSIDA,1,0
1560,12057,REPTILIA,7,6
1561,12059,ACTINOPTERYGII,15,2
1562,12059,AVES,64,1
1563,12059,GASTROPODA,5,0
1564,12059,MAMMALIA,1,0
1565,12061,ACTINOPTERYGII,226,13
1566,12061,ANTHOZOA,19,8
1567,12061,AVES,80,2
1568,12061,CEPHALASPIDOMORPHI,1,0
1569,12061,CHONDRICHTHYES,55,37
1570,12061,GASTROPODA,17,0
1571,12061,HYDROZOA,2,2
1572,12061,LILIOPSIDA,6,0
1573,12061,MAGNOLIOPSIDA,4,0
1574,12061,MALACOSTRACA,13,0
1575,12061,MAMMALIA,30,5
1576,12061,POLYPODIOPSIDA,1,0
1577,12061,REPTILIA,8,7
1578,12063,ACTINOPTERYGII,16,2
1579,12063,AVES,65,1
1580,12063,GASTROPODA,5,0
1581,12063,MAMMALIA,1,0
1582,12063,REPTILIA,1,1
1583,12065,ACTINOPTERYGII,164,11
1584,12065,ANTHOZOA,7,3
1585,12065,AVES,81,2
1586,12065,CHONDRICHTHYES,61,38
1587,12065,GASTROPODA,18,2
1588,12065,LILIOPSIDA,5,0
1589,12065,MAGNOLIOPSIDA,1,0
1590,12065,MALACOSTRACA,11,0
1591,12065,MAMMALIA,29,5
1592,12065,REPTILIA,7,6
1593,12067,ACTINOPTERYGII,26,2
1594,12067,AVES,77,2
1595,12067,GASTROPODA,5,0
1596,12067,MAMMALIA,1,0
1597,12067,REPTILIA,1,1
1598,12069,ACTINOPTERYGII,16,2
1599,12069,AVES,71,2
1600,12069,CEPHALASPIDOMORPHI,1,0
1601,12069,GASTROPODA,3,0
1602,12069,MAMMALIA,2,1
1603,12069,REPTILIA,1,1
1604,12071,ACTINOPTERYGII,191,11
1605,12071,ANTHOZOA,29,10
1606,12071,AVES,79,1
1607,12071,CHONDRICHTHYES,62,37
1608,12071,GASTROPODA,18,2
1609,12071,HYDROZOA,2,2
1610,12071,LILIOPSIDA,5,0
1611,12071,MAGNOLIOPSIDA,4,0
1612,12071,MALACOSTRACA,14,0
1613,12071,MAMMALIA,29,5
1614,12071,POLYPODIOPSIDA,1,0
1615,12071,REPTILIA,8,7
1616,12073,ACTINOPTERYGII,25,2
1617,12073,AVES,75,1
1618,12073,GASTROPODA,5,0
1619,12073,MAMMALIA,1,0
1620,12073,REPTILIA,1,1
1621,12075,ACTINOPTERYGII,179,11
1622,12075,ANTHOZOA,18,7
1623,12075,AVES,82,2
1624,12075,CHONDRICHTHYES,60,37
1625,12075,GASTROPODA,18,2
1626,12075,LILIOPSIDA,5,0
1627,12075,MAGNOLIOPSIDA,3,0
1628,12075,MALACOSTRACA,13,0
1629,12075,MAMMALIA,29,5
1630,12075,POLYPODIOPSIDA,1,0
1631,12075,REPTILIA,7,6
1632,12077,ACTINOPTERYGII,27,2
1633,12077,AVES,76,1
1634,12077,GASTROPODA,5,0
1635,12077,MAMMALIA,1,0
1636,12077,REPTILIA,3,2
1637,12079,ACTINOPTERYGII,26,2
1638,12079,AVES,73,2
1639,12079,GASTROPODA,5,0
1640,12079,MAMMALIA,1,0
1641,12081,ACTINOPTERYGII,181,11
1642,12081,ANTHOZOA,26,10
1643,12081,AVES,80,2
1644,12081,CHONDRICHTHYES,60,37
1645,12081,GASTROPODA,18,2
1646,12081,LILIOPSIDA,5,0
1647,12081,MAGNOLIOPSIDA,4,0
1648,12081,MALACOSTRACA,13,0
1649,12081,MAMMALIA,29,5
1650,12081,POLYPODIOPSIDA,1,0
1651,12081,REPTILIA,8,7
1652,12083,ACTINOPTERYGII,29,3
1653,12083,AVES,75,2
1654,12083,CEPHALASPIDOMORPHI,1,0
1655,12083,GASTROPODA,5,0
1656,12083,MAMMALIA,2,1
1657,12083,REPTILIA,2,2
1658,12085,ACTINOPTERYGII,229,13
1659,12085,ANTHOZOA,40,15
