,US_County_FIPS,_class,n_species,n_red
293,01049,BIVALVIA,55,12
294,01049,CEPHALASPIDOMORPHI,5,0
295,01049,GASTROPODA,20,0
296,01049,INSECTA,3,1
297,01049,LILIOPSIDA,4,0
298,01049,MAGNOLIOPSIDA,2,0
299,01049,MALACOSTRACA,49,4
300,01049,MAMMALIA,5,0
301,01049,POLYPODIOPSIDA,1,0
302,01049,REPTILIA,5,0
303,01051,ACTINOPTERYGII,125,9
304,01051,AMPHIBIA,40,0
305,01051,AVES,110,2
306,01051,BIVALVIA,22,2
307,01051,CEPHALASPIDOMORPHI,3,0
308,01051,GASTROPODA,19,1
309,01051,INSECTA,3,1
310,01051,LILIOPSIDA,4,0
311,01051,MAGNOLIOPSIDA,3,0
312,01051,MALACOSTRACA,28,0
313,01051,MAMMALIA,5,0
314,01051,REPTILIA,11,0
315,01053,ACTINOPTERYGII,158,9
316,01053,AMPHIBIA,49,2
317,01053,AVES,123,2
318,01053,BIVALVIA,29,4
319,01053,CEPHALASPIDOMORPHI,2,0
320,01053,GASTROPODA,22,0
321,01053,INSECTA,3,1
322,01053,LILIOPSIDA,5,0
323,01053,MAGNOLIOPSIDA,4,0
324,01053,MALACOSTRACA,48,2
325,01053,MAMMALIA,5,0
326,01053,REPTILIA,15,0
327,01055,ACTINOPTERYGII,130,15
328,01055,AMPHIBIA,40,1
329,01055,AVES,109,2
330,01055,BIVALVIA,55,11
331,01055,CEPHALASPIDOMORPHI,3,0
332,01055,GASTROPODA,22,2
333,01055,INSECTA,3,1
334,01055,LILIOPSIDA,4,0
335,01055,MAGNOLIOPSIDA,2,0
336,01055,MALACOSTRACA,57,5
337,01055,MAMMALIA,5,0
338,01055,POLYPODIOPSIDA,1,0
339,01055,REPTILIA,7,0
340,01057,ACTINOPTERYGII,122,11
341,01057,AMPHIBIA,37,1
342,01057,AVES,111,2
343,01057,BIVALVIA,22,3
344,01057,CEPHALASPIDOMORPHI,3,0
345,01057,GASTROPODA,11,0
346,01057,INSECTA,3,1
347,01057,LILIOPSIDA,4,0
348,01057,MAGNOLIOPSIDA,2,0
349,01057,MALACOSTRACA,42,4
350,01057,MAMMALIA,5,0
351,01057,REPTILIA,9,0
352,01059,ACTINOPTERYGII,191,19
353,01059,AMPHIBIA,38,1
354,01059,AVES,112,2
355,01059,BIVALVIA,52,14
356,01059,CEPHALASPIDOMORPHI,5,0
357,01059,GASTROPODA,15,0
358,01059,INSECTA,5,1
359,01059,LILIOPSIDA,4,0
360,01059,MAGNOLIOPSIDA,2,0
361,01059,MALACOSTRACA,55,7
362,01059,MAMMALIA,5,0
363,01059,POLYPODIOPSIDA,1,0
